uid;error_id;start_vid;end_vid;error_val;type;level;geom
2027698-1910414;;2027698;1910414;0;No error;5;0104000020E610000002000000010100000033CD2A22F9A662404E4F0E55E70241C0010100000017050B7136AA624096B20C71AC0241C0
2105869-2106623;980;2105869;2106623;100;Error;5;0104000020E610000002000000010100000015CB886639D2624099A14CFE82043FC001010000009FD2776DA5D16240DFA7AAD040163FC0
2172609-2137667;;2172609;2137667;0;No error;5;0104000020E6100000020000000101000000F064DC79070463404D9539A7A3633EC001010000004D632074750263405CBFAAC4866C3EC0
650986-231145;630;650986;231145;100;Error;5;0104000020E6100000020000000101000000A9CB18D5D8F562409730E422087D3EC001010000004FA61B72BDF56240407B3F7FEB7C3EC0
2253034-1908877;939;2253034;1908877;100;Error;5;0104000020E61000000200000001010000005AFA2BBF27B862403F6DF9ED90E040C00101000000205B3BF6D8B86240DDB17D6DA2E040C0
769801-1850563;;769801;1850563;0;No error;5;0104000020E61000000200000001010000005DED17A2B900634012F758FAD00D3DC0010100000041E378F4F502634065EE10B523173DC0
224016-2026072;;224016;2026072;0;No error;5;0104000020E61000000200000001010000007D8F9F32A3E8624010C99063EBEF40C00101000000437573F1B7E86240C13F000407F040C0
343073-1479354;835;343073;1479354;100;Error;5;0104000020E61000000200000001010000000C14C2B4F9EB6240CCA266FE879C40C001010000003846578EF5EB624059FB3BDBA3A040C0
217666-258044;;217666;258044;0;No error;5;0104000020E6100000020000000101000000A3ACDF4C0CA96240A0A46549254042C00101000000D1BD3DBE33A962401E1F88878B4042C0
3914-1592561;;3914;1592561;0;No error;5;0104000020E610000002000000010100000023F8DF4AF68B62408B51D7DAFBCC41C001010000005E5441FBC7896240E729615C60C841C0
29463-1865194;;29463;1865194;0;No error;5;0104000020E610000002000000010100000007126FF8788E6240F599588572D241C00101000000A5BBEB6C888D62407AD0A22D9DD941C0
1007566-1837298;530;1007566;1837298;100;Error;5;0104000020E610000002000000010100000073092C2530226340D2408754AC053DC0010100000070A994E8362163401C237E6A610D3DC0
1156336-2105187;789;1156336;2105187;100;Error;5;0104000020E6100000020000000101000000837BAF6B45C16240B24C1AFE2ED93EC001010000005AAEC8F92CC16240F75388EC28DD3EC0
590825-581854;;590825;581854;0;No error;5;0104000020E6100000020000000101000000A30CB0EA87A6624032D582CDEF8D40C001010000005E471CB201A9624002D6AA5D138340C0
679830-1567978;;679830;1567978;0;No error;5;0104000020E6100000020000000101000000E4A9A2D3CEE462407AD33E671C4C3FC00101000000DB2049FFC1E462404B7265F5B34D3FC0
1190858-1711831;;1190858;1711831;0;No error;5;0104000020E6100000020000000101000000853FC39B358F62409A04148F302942C001010000004100BA79B49162406C3C7DA9441242C0
1354184-1381747;;1354184;1381747;0;No error;5;0104000020E61000000200000001010000000CE31357FAAD614023DF008E98F43FC0010100000017E41D963CAE6140D1686105AEF13FC0
1429003-644806;;1429003;644806;0;No error;5;0104000020E6100000020000000101000000D55F0A6AD3CC614098816F3F853240C00101000000CDBFA78306C761408C3DC5BB6D4340C0
1545846-1567674;854;1545846;1567674;70;Near error;5;0104000020E61000000200000001010000001CB7F3588ED36240C30C8D2782643EC00101000000D5986B2CBCD36240377D2C335B643EC0
1613667-2111278;868;1613667;2111278;70;Near error;5;0104000020E610000002000000010100000083F52455C0FA6240737A83D4921840C0010100000064F668605AFA624030C676AD731140C0
1644068-1850563;763;1644068;1850563;100;Error;5;0104000020E6100000020000000101000000A11B5025790163406347E350BF133DC0010100000041E378F4F502634065EE10B523173DC0
1659979-581854;;1659979;581854;0;No error;5;0104000020E6100000020000000101000000C3503D8853A56240DF9C5B32D87A40C001010000005E471CB201A9624002D6AA5D138340C0
1716954-2211645;;1716954;2211645;0;No error;5;0104000020E6100000020000000101000000280AF489BC866240353B9C0A02C241C00101000000725B11EBC3866240A1D1C20A5CBF41C0
1762013-2032769;;1762013;2032769;0;No error;5;0104000020E61000000200000001010000009397EB23A60E634021C2644FA73D3FC001010000004BC22A838F0D6340EEDD301BAE413FC0
1826818-2078854;919;1826818;2078854;70;Near error;5;0104000020E6100000020000000101000000866B5ACE4A256240344690EFF71A41C00101000000403A2B58592662401B17693DD71B41C0
1094580-18152;776;1094580;18152;100;Error;5;0104000020E61000000200000001010000005BBD7960B65662403A803452A59D41C0010100000060B24C1ABE56624062F54718069D41C0
2121209-1740548;;2121209;1740548;0;No error;5;0104000020E610000002000000010100000014B7651B937662403BA6EECA2E7440C00101000000F17EDC7E797662404F88CAD0C27440C0
57123-1481830;;57123;1481830;0;No error;5;0104000020E610000002000000010100000056E35B0E6AA86240403A2B5899B441C0010100000067F73F1B54A9624056FD005AA9B141C0
123228-352045;613;123228;352045;100;Error;5;0104000020E61000000200000001010000001EF7521D9784624037F867AB37C341C00101000000126BF129C08462401D7F582547C341C0
1723434-730689;729;1723434;730689;100;Error;5;0104000020E6100000020000000101000000368EFDD19C226340C2B8C08AF84F3DC00101000000B7FAA01DE6236340E0F835EDBD513DC0
211872-1820160;;211872;1820160;0;No error;5;0104000020E61000000200000001010000008425C39603F662407E665AACF2863EC00101000000C3633F8BE5F562406F302F1BF8883EC0
239464-1253453;634;239464;1253453;100;Error;5;0104000020E61000000200000001010000006DE92C0E02E362404E756D14FEF340C00101000000AF3D586B0DE362405B7C0A80F1F340C0
259102-1643532;;259102;1643532;0;No error;5;0104000020E6100000020000000101000000CF98936126CE6240460C3B8C495441C0010100000073B389DDC8CC6240789CA223B95241C0
289855-1512233;;289855;1512233;0;No error;5;0104000020E6100000020000000101000000D8B6CDF94E956240D4BDA9A33EC740C0010100000023A46E671F956240369EBE5422C740C0
473548-636620;676;473548;636620;100;Error;5;0104000020E610000002000000010100000066A4390DACAB6240DE770C8FFDCA40C00101000000827D2A5DB0AB62401015F428A6CA40C0
535468-567467;;535468;567467;0;No error;5;0104000020E6100000020000000101000000FF9A070B4211634063CB97BCA6BC3CC00101000000B129A105720E63406528DD4C3BB33CC0
565961-142566;697;565961;142566;100;Error;5;0104000020E6100000020000000101000000752F4157ECB16240E0BBCD1B27BF40C00101000000F036CA5587B162404A78E7F5CCBE40C0
584270-584883;701;584270;584883;100;Error;5;0104000020E61000000200000001010000005D11A1B632B66240332C90EA85C040C0010100000088E1D9D42FB662404F79CFDC9EC040C0
650583-706488;;650583;706488;0;No error;5;0104000020E61000000200000001010000009F8AC0FD65B16240647616BD53B941C00101000000D5C853FB59B06240EFB14F5B7EBA41C0
652351-456616;671;652351;456616;100;Error;5;0104000020E6100000020000000101000000B17D12E948EF6240BAEA4B80AB6F40C0010100000091D61874C2EF6240002A0B15D27040C0
710243-733655;;710243;733655;0;No error;5;0104000020E61000000200000001010000004449EDEAFAAB624093DFA293A52941C001010000003A8ABD61ECAB6240F76D2D38282941C0
908438-1844815;;908438;1844815;0;No error;5;0104000020E610000002000000010100000093AD8960370D6340AF43352559FF3FC001010000001454F943980E6340A82F95C84F0240C0
1042951-350283;652;1042951;350283;100;Error;5;0104000020E61000000200000001010000000BD1217024E1624001CDD6B0950541C001010000006A61BB2047E16240AFA2F5A6D80341C0
1124671-1112627;765;1124671;1112627;100;Error;5;0104000020E6100000020000000101000000E91505B077C8624030B88BD58B1C3FC00101000000803859B48AC8624094A12AA6D21D3FC0
1236524-1919708;;1236524;1919708;0;No error;5;0104000020E6100000020000000101000000CBB3379DC9B96240DFAFB8EE9CA842C0010100000089A0C5ADDDB96240D18778358AAA42C0
1268208-1754246;797;1268208;1754246;100;Error;5;0104000020E6100000020000000101000000A9FE9CDD35F6624092DCABA0B37240C00101000000412B306435F66240016C4084B87240C0
1274157-1804480;;1274157;1804480;0;No error;5;0104000020E6100000020000000101000000EAFE5657AAA2624098A1F14410A640C00101000000A41820D104A362401857016322A740C0
1289321-1261492;799;1289321;1261492;10;;5;0104000020E610000002000000010100000089B2B794F3BF62401B779494055C41C00101000000F2E0383AF8BF6240627F7E84065C41C0
1289474-1303556;806;1289474;1303556;100;Error;5;0104000020E61000000200000001010000008B4DD0CBCD41624082806BDDBC1A41C00101000000C67C8A2DCE4162407A9ADDA4B31A41C0
1294495-1296050;506;1294495;1296050;100;Error;5;0104000020E6100000020000000101000000FBD060AEE0406240060830760C2341C001010000008EC9E2FEE340624039F5DC9D102341C0
1317047-64944;502;1317047;64944;100;Error;5;0104000020E61000000200000001010000002B0CDB6032D8624082E673EE76CC40C00101000000EFD6E88B33D86240B64F221D79CC40C0
1325929-2264315;814;1325929;2264315;100;Error;5;0104000020E6100000020000000101000000BFFF45860BDB6240FD39BB6BBF0541C00101000000989BB9D111DB624052932A9B830541C0
1379865-1275822;822;1379865;1275822;100;Error;5;0104000020E610000002000000010100000052C543CEB1DA624090018F5EC3E240C00101000000E6D65A4EB8DA62402A464C3F97E240C0
1462590-1193158;;1462590;1193158;0;No error;5;0104000020E6100000020000000101000000CD3747C2E3FA62403F79B361A83B40C0010100000079138DFF4CFE6240AC6928FFA43840C0
1567528-2092778;;1567528;2092778;0;No error;5;0104000020E61000000200000001010000003C79A235500E634025D0BB0C5A4D3FC001010000002E1D739E310E63401DB00683C6433FC0
1582327-2203096;;1582327;2203096;0;No error;5;0104000020E6100000020000000101000000FB37D494C9C4624043D1F2F22A4B3EC00101000000C22A830F8AC4624085A4051ECE6A3EC0
1619822-1627590;862;1619822;1627590;100;Error;5;0104000020E61000000200000001010000001C446B451BEA62407537F4BB550140C0010100000063693B0128E96240E38A8BA3720A40C0
1642991-1639904;;1642991;1639904;0;No error;5;0104000020E61000000200000001010000003D1460B3B7536240C62F61D9719F41C00101000000E395DA419B5362400EFED9EACDA141C0
1814874-1696066;885;1814874;1696066;100;Error;5;0104000020E6100000020000000101000000A4326A63918762409C8A54185BF541C0010100000022365838C98762402DEE3F321DF641C0
1902596-2033553;;1902596;2033553;0;No error;5;0104000020E61000000200000001010000008DFADAE93D056340451ED2B9EC853FC001010000003520E7A2C606634097B844E4AA783FC0
2020527-1651074;;2020527;1651074;0;No error;5;0104000020E6100000020000000101000000765DAE341FD76240710A86CEC64A40C00101000000377D87EC0DDB62404EB6813B504440C0
2027036-1832788;917;2027036;1832788;100;Error;5;0104000020E610000002000000010100000081261D409A126340DA0649FA0FBE3DC00101000000F44F70B1E210634080F3E2C457BD3DC0
2027109-2038042;959;2027109;2038042;100;Error;5;0104000020E610000002000000010100000057B3CEF87E2463400468A55A55FC3DC001010000004329102C7D24634047167A0E76FC3DC0
2049615-1432519;;2049615;1432519;0;No error;5;0104000020E6100000020000000101000000E7FAE36271B06240794F2F42C22F40C001010000008CF337A190B06240A1C5ADDDD12F40C0
2053518-1686060;;2053518;1686060;0;No error;5;0104000020E6100000020000000101000000084955C936CE6240B26E17F5A43D41C00101000000F24AEDA02DCE6240C1C6F5EFFA3B41C0
